dateid01,dateid,m,p,rgdp
1997-07-01,1997-09-30 23:59:59.999,661222,90.002,303490
1997-10-01,1997-12-31 23:59:59.999,691290,90.363,307560
1998-01-01,1998-03-31 23:59:59.999,700959,90.541,309517
1998-04-01,1998-06-30 23:59:59.999,708565,91.000,311857
1998-07-01,1998-09-30 23:59:59.999,723005,91.247,314098
1998-10-01,1998-12-31 23:59:59.999,731238,91.604,317295
1999-01-01,1999-03-31 23:59:59.999,729079,91.993,318806
1999-04-01,1999-06-30 23:59:59.999,742922,92.276,319560
1999-07-01,1999-09-30 23:59:59.999,738340,92.346,324767
1999-10-01,1999-12-31 23:59:59.999,753952,92.637,329111
2000-01-01,2000-03-31 23:59:59.999,765325,92.746,332555
2000-04-01,2000-06-30 23:59:59.999,792462,92.856,334960
2000-07-01,2000-09-30 23:59:59.999,804657,93.081,336221
2000-10-01,2000-12-31 23:59:59.999,825736,93.533,337211
2001-01-01,2001-03-31 23:59:59.999,848218,93.536,341026
2001-04-01,2001-06-30 23:59:59.999,852518,94.273,343637
2001-07-01,2001-09-30 23:59:59.999,880788,94.503,345468
2001-10-01,2001-12-31 23:59:59.999,892028,94.508,346546
2002-01-01,2002-03-31 23:59:59.999,892093,94.968,348115
2002-04-01,2002-06-30 23:59:59.999,905282,95.156,350978
2002-07-01,2002-09-30 23:59:59.999,917903,95.488,354058
2002-10-01,2002-12-31 23:59:59.999,933064,95.951,357286
2003-01-01,2003-03-31 23:59:59.999,940006,96.312,360733
2003-04-01,2003-06-30 23:59:59.999,958990,96.416,365803
2003-07-01,2003-09-30 23:59:59.999,971986,96.812,370428
2003-10-01,2003-12-31 23:59:59.999,998753,97.211,374127
2004-01-01,2004-03-31 23:59:59.999,1020114,97.515,375324
2004-04-01,2004-06-30 23:59:59.999,1048179,97.784,376455
2004-07-01,2004-09-30 23:59:59.999,1073192,98.026,376942
2004-10-01,2004-12-31 23:59:59.999,1099060,98.605,378470
2005-01-01,2005-03-31 23:59:59.999,1126795,99.235,381142
2005-04-01,2005-06-30 23:59:59.999,1164063,99.681,385058
2005-07-01,2005-09-30 23:59:59.999,1192489,100.360,389023
2005-10-01,2005-12-31 23:59:59.999,1227502,100.706,394268
2006-01-01,2006-03-31 23:59:59.999,1261645,101.158,396566
2006-04-01,2006-06-30 23:59:59.999,1297832,101.944,398553
2006-07-01,2006-09-30 23:59:59.999,1338154,102.764,399251
2006-10-01,2006-12-31 23:59:59.999,1400046,103.428,402258
2007-01-01,2007-03-31 23:59:59.999,1441089,104.083,405329
2007-04-01,2007-06-30 23:59:59.999,1497345,104.541,407767
2007-07-01,2007-09-30 23:59:59.999,1537080,104.592,411205
2007-10-01,2007-12-31 23:59:59.999,1551451,105.613,413131
2008-01-01,2008-03-31 23:59:59.999,1636724,106.585,414424
2008-04-01,2008-06-30 23:59:59.999,1664627,108.029,413465
2008-07-01,2008-09-30 23:59:59.999,1680747,109.594,406584
2008-10-01,2008-12-31 23:59:59.999,1834726,109.735,397522
2009-01-01,2009-03-31 23:59:59.999,1847918,109.704,390406
2009-04-01,2009-06-30 23:59:59.999,1807423,110.303,389388
2009-07-01,2009-09-30 23:59:59.999,1856919,111.260,390167
2009-10-01,2009-12-31 23:59:59.999,1896010,112.097,391685
2010-01-01,2010-03-31 23:59:59.999,2101057,113.199,393678
2010-04-01,2010-06-30 23:59:59.999,2088893,114.113,397525
2010-07-01,2010-09-30 23:59:59.999,2078347,114.763,400096
2010-10-01,2010-12-31 23:59:59.999,2076423,115.891,400195
2011-01-01,2011-03-31 23:59:59.999,2079970,117.768,402341
2011-04-01,2011-06-30 23:59:59.999,2078145,119.136,403260
2011-07-01,2011-09-30 23:59:59.999,2088990,120.229,406068
2011-10-01,2011-12-31 23:59:59.999,2029218,121.231,406008
2012-01-01,2012-03-31 23:59:59.999,2016974,121.844,406283
2012-04-01,2012-06-30 23:59:59.999,2019730,122.457,405560
2012-07-01,2012-09-30 23:59:59.999,2020690,123.156,408938
2012-10-01,2012-12-31 23:59:59.999,2036993,124.408,407557
2013-01-01,2013-03-31 23:59:59.999,2066368,125.285,409985
2013-04-01,2013-06-30 23:59:59.999,2081203,125.740,412620
2013-07-01,2013-09-30 23:59:59.999,2084903,126.451,415577
2013-10-01,2013-12-31 23:59:59.999,2069819,127.001,417265
2014-01-01,2014-03-31 23:59:59.999,2072032,127.497,420091
2014-04-01,2014-06-30 23:59:59.999,2057863,127.931,423249
2014-07-01,2014-09-30 23:59:59.999,2066720,128.239,426022
2014-10-01,2014-12-31 23:59:59.999,2070528,128.198,428347
